order_id,invoice_id,order_date,ship_date,region,country,state,city,sales_channel,customer_segment,customer_name,sales_rep,product,category,subcategory,quantity,unit_price,discount_pct,gross_revenue,net_revenue,shipping_cost,total_cost,profit,profit_margin_pct,payment_method,order_priority,fulfillment_status,returned,satisfaction_score
SO-2024-00011,INV-000011,2024-01-25,2024-01-26,North,United States,New York,New York,Distributor,SMB,Elevate Services,Noah Bennett,Nimbus Tablet,Electronics,Mobile Devices,3,716.17,0.00,2148.51,2148.51,54.67,1306.38,842.13,39.20,PayPal,Medium,Delivered,no,3
SO-2024-00012,INV-000012,2024-02-03,2024-02-07,West,United States,California,San Francisco,Online,SMB,Cobalt Technologies,Marcus Lee,Nimbus Tablet,Electronics,Mobile Devices,15,649.93,0.10,9748.95,8774.05,16.50,6558.51,2215.54,25.25,Wire Transfer,Critical,Delivered,no,3
SO-2024-00013,INV-000013,2024-01-30,2024-02-03,South,United States,Texas,Dallas,Online,SMB,PrimeAxis Retail,Priya Nair,Apex Drill,Industrial,Tools,9,364.32,0.00,3278.88,3278.88,48.78,2058.53,1220.35,37.22,PayPal,Critical,Delivered,no,4
SO-2024-00014,INV-000014,2024-01-17,2024-01-19,West,United States,California,San Francisco,Retail,SMB,PrimeAxis Homes,Elena Cruz,Summit Desk,Furniture,Office,14,404.18,0.05,5658.52,5375.59,34.01,4387.40,988.20,18.38,Wire Transfer,Low,Processing,no,5
SO-2024-00015,INV-000015,2024-02-04,2024-02-05,North,United States,New York,New York,Retail,Enterprise,PrimeAxis Logistics,Jordan Reed,Orbit Camera,Electronics,Security,3,225.98,0.08,677.94,623.70,88.31,475.28,148.42,23.80,Wire Transfer,Critical,Returned,yes,2
SO-2024-00016,INV-000016,2024-02-22,2024-02-27,South,United States,Florida,Miami,Retail,Consumer,SilverOak Technologies,Sana Khan,Crest Air Purifier,Home Appliances,Air Quality,3,290.45,0.05,871.35,827.78,66.56,581.50,246.28,29.75,Wire Transfer,High,Delivered,no,4
SO-2024-00017,INV-000017,2024-01-17,2024-01-21,North,United States,Massachusetts,Boston,Inside Sales,Consumer,BluePeak Supply,Priya Nair,Terra Blender,Home Appliances,Kitchen,21,147.01,0.00,3087.21,3087.21,18.08,1549.67,1537.54,49.80,PayPal,High,Delivered,no,5
SO-2024-00018,INV-000018,2024-02-29,2024-03-05,North,United States,New York,New York,Inside Sales,Consumer,PrimeAxis Stores,Marcus Lee,Orbit Camera,Electronics,Security,11,245.77,0.00,2703.47,2703.47,89.93,1442.83,1260.64,46.63,Invoice,Medium,Delivered,no,5
SO-2024-00019,INV-000019,2024-02-04,2024-02-05,West,United States,Washington,Seattle,Marketplace,Government,Greenline Homes,Anika Shah,Harbor Chair,Furniture,Office,4,249.73,0.12,998.92,879.05,34.96,565.11,313.93,35.71,Credit Card,Low,Delivered,no,5
SO-2024-00020,INV-000020,2024-02-12,2024-02-17,North,United States,New York,New York,Retail,Enterprise,Summit Supply,Daniel Brooks,Pulse Headphones,Electronics,Accessories,19,173.60,0.00,3298.40,3298.40,15.47,1960.75,1337.65,40.55,ACH,Critical,Delivered,no,5
SO-2024-00021,INV-000021,2024-01-31,2024-02-02,South,United States,Florida,Miami,Online,Government,BrightPath Stores,Anika Shah,Pulse Headphones,Electronics,Accessories,15,167.54,0.10,2513.10,2261.79,88.73,1701.18,560.61,24.79,PayPal,Medium,Delivered,no,3
SO-2024-00022,INV-000022,2024-02-10,2024-02-12,East,United States,Pennsylvania,Philadelphia,Distributor,Consumer,Summit Foods,Anika Shah,Vertex Monitor,Electronics,Displays,9,335.85,0.00,3022.65,3022.65,45.07,2155.12,867.53,28.70,Credit Card,High,Delivered,no,3
SO-2024-00023,INV-000023,2024-01-25,2024-01-26,East,United States,Virginia,Richmond,Retail,Consumer,Cobalt Services,Anika Shah,Crest Air Purifier,Home Appliances,Air Quality,21,277.04,0.10,5817.84,5236.06,77.27,3627.64,1608.41,30.72,PayPal,Low,Delivered,no,5
SO-2024-00024,INV-000024,2024-02-16,2024-02-20,South,United States,Florida,Miami,Distributor,Consumer,PrimeAxis Partners,Sana Khan,Orbit Camera,Electronics,Security,4,246.75,0.03,987.00,957.39,63.72,587.68,369.71,38.62,Invoice,Medium,Delivered,no,3
SO-2024-00025,INV-000025,2024-03-08,2024-03-14,West,United States,California,San Francisco,Marketplace,Consumer,Cobalt Services,Noah Bennett,Apex Drill,Industrial,Tools,7,342.17,0.03,2395.19,2323.33,45.70,1603.97,719.37,30.96,PayPal,Critical,Delivered,no,5
SO-2024-00026,INV-000026,2024-02-05,2024-02-11,West,United States,Washington,Seattle,Retail,SMB,BrightPath Supply,Anika Shah,Summit Desk,Furniture,Office,4,437.79,0.10,1751.16,1576.04,64.53,1244.79,331.25,21.02,Credit Card,Medium,Delivered,no,4
SO-2024-00027,INV-000027,2024-02-25,2024-02-29,North,United States,Massachusetts,Boston,Retail,SMB,BluePeak Industries,Noah Bennett,Crest Air Purifier,Home Appliances,Air Quality,22,287.28,0.10,6320.16,5688.14,69.80,3814.80,1873.34,32.93,Credit Card,Medium,Delivered,no,3
SO-2024-00028,INV-000028,2024-02-26,2024-03-03,South,United States,Texas,Dallas,Retail,Government,PrimeAxis Homes,Noah Bennett,Vertex Monitor,Electronics,Displays,18,430.87,0.08,7755.66,7135.21,38.34,4501.42,2633.79,36.91,Invoice,Medium,Processing,no,5
SO-2024-00029,INV-000029,2024-03-09,2024-03-11,West,United States,Washington,Seattle,Retail,Government,Greenline Stores,Priya Nair,Harbor Chair,Furniture,Office,10,237.65,0.10,2376.50,2138.85,35.72,1405.52,733.33,34.29,Wire Transfer,Low,Delivered,no,4
SO-2024-00030,INV-000030,2024-03-04,2024-03-08,East,United States,Pennsylvania,Philadelphia,Distributor,Enterprise,Elevate Industries,Daniel Brooks,Apex Drill,Industrial,Tools,15,294.85,0.12,4422.75,3892.02,46.87,3412.90,479.12,12.31,Invoice,Critical,Delivered,no,4
SO-2024-00031,INV-000031,2024-03-02,2024-03-04,South,United States,Florida,Miami,Marketplace,Enterprise,Lighthouse Stores,Sana Khan,Orbit Camera,Electronics,Security,10,217.54,0.00,2175.40,2175.40,44.28,1355.01,820.39,37.71,ACH,Low,Delivered,no,3
SO-2024-00032,INV-000032,2024-03-01,2024-03-03,South,United States,Texas,Dallas,Inside Sales,Enterprise,BrightPath Industries,Noah Bennett,Apex Drill,Industrial,Tools,3,311.77,0.03,935.31,907.25,29.57,659.08,248.17,27.35,Credit Card,Low,Processing,no,4
SO-2024-00033,INV-000033,2024-03-14,2024-03-15,North,United States,Massachusetts,Boston,Marketplace,SMB,Lighthouse Logistics,Noah Bennett,Summit Desk,Furniture,Office,26,407.62,0.00,10598.12,10598.12,28.55,7410.51,3187.61,30.08,Invoice,High,Delivered,no,3
SO-2024-00034,INV-000034,2024-02-13,2024-02-16,North,United States,Massachusetts,Boston,Retail,Enterprise,BluePeak Services,Elena Cruz,Crest Air Purifier,Home Appliances,Air Quality,5,287.50,0.03,1437.50,1394.38,59.79,952.37,442.00,31.70,ACH,Low,Delivered,no,5
SO-2024-00035,INV-000035,2024-03-09,2024-03-13,East,United States,Pennsylvania,Philadelphia,Inside Sales,Government,BluePeak Industries,Priya Nair,Aurora Laptop,Electronics,Computers,23,1219.46,0.08,28047.58,25803.77,65.75,18642.28,7161.49,27.75,PayPal,Medium,Processing,no,5
SO-2024-00036,INV-000036,2024-03-15,2024-03-20,East,United States,Virginia,Richmond,Distributor,SMB,BluePeak Partners,Noah Bennett,Orbit Camera,Electronics,Security,26,220.25,0.05,5726.50,5440.18,80.54,3458.41,1981.76,36.43,ACH,Critical,Delivered,no,4
SO-2024-00037,INV-000037,2024-02-26,2024-02-28,West,United States,Washington,Seattle,Marketplace,SMB,PrimeAxis Retail,Jordan Reed,Aurora Laptop,Electronics,Computers,17,1168.00,0.12,19856.00,17473.28,33.44,14221.46,3251.82,18.61,Wire Transfer,Critical,Delivered,no,4
SO-2024-00038,INV-000038,2024-03-22,2024-03-26,South,United States,Florida,Miami,Inside Sales,Government,BrightPath Services,Daniel Brooks,Orbit Camera,Electronics,Security,22,233.25,0.05,5131.50,4874.93,77.81,2769.88,2105.04,43.18,PayPal,High,Delivered,no,4
SO-2024-00039,INV-000039,2024-02-27,2024-03-01,East,United States,Virginia,Richmond,Distributor,Consumer,SilverOak Supply,Elena Cruz,Vertex Monitor,Electronics,Displays,9,345.41,0.00,3108.69,3108.69,38.19,2266.58,842.11,27.09,Credit Card,Medium,Delivered,no,4
SO-2024-00040,INV-000040,2024-02-20,2024-02-23,East,United States,Pennsylvania,Philadelphia,Online,Consumer,Lighthouse Logistics,Noah Bennett,Summit Desk,Furniture,Office,2,488.41,0.00,976.82,976.82,34.77,670.15,306.67,31.39,PayPal,Critical,Delivered,no,4
SO-2024-00041,INV-000041,2024-02-26,2024-03-01,North,United States,New York,New York,Inside Sales,Enterprise,Greenline Services,Marcus Lee,Pulse Headphones,Electronics,Accessories,5,206.72,0.05,1033.60,981.92,52.81,577.72,404.20,41.16,Credit Card,Critical,Delivered,no,5
SO-2024-00042,INV-000042,2024-03-15,2024-03-19,South,United States,Florida,Miami,Retail,SMB,Elevate Logistics,Elena Cruz,Crest Air Purifier,Home Appliances,Air Quality,16,311.42,0.03,4982.72,4833.24,83.39,2965.95,1867.28,38.63,Credit Card,Medium,Delivered,no,3
SO-2024-00043,INV-000043,2024-02-22,2024-02-23,North,United States,Massachusetts,Boston,Retail,Consumer,Lighthouse Logistics,Marcus Lee,Pulse Headphones,Electronics,Accessories,15,188.46,0.08,2826.90,2600.75,51.00,1525.79,1074.96,41.33,PayPal,Low,Delivered,no,5
SO-2024-00044,INV-000044,2024-03-01,2024-03-03,South,United States,Texas,Dallas,Distributor,Consumer,Lighthouse Logistics,Sana Khan,Summit Desk,Furniture,Office,4,411.04,0.12,1644.16,1446.86,37.53,1276.38,170.48,11.78,Invoice,Critical,Delivered,no,4
SO-2024-00045,INV-000045,2024-03-12,2024-03-18,North,United States,New York,New York,Online,SMB,BrightPath Services,Noah Bennett,Nimbus Tablet,Electronics,Mobile Devices,12,672.99,0.00,8075.88,8075.88,19.58,5439.74,2636.14,32.64,ACH,Critical,Delivered,no,4
SO-2024-00046,INV-000046,2024-03-26,2024-03-30,West,United States,California,San Francisco,Inside Sales,Government,Cobalt Homes,Anika Shah,Pulse Headphones,Electronics,Accessories,4,189.42,0.05,757.68,719.80,39.66,464.15,255.65,35.52,PayPal,Low,Delivered,no,4
SO-2024-00047,INV-000047,2024-02-23,2024-02-27,East,United States,Pennsylvania,Philadelphia,Marketplace,Government,PrimeAxis Technologies,Noah Bennett,Harbor Chair,Furniture,Office,18,261.58,0.00,4708.44,4708.44,66.59,2612.97,2095.47,44.50,Credit Card,Medium,Delivered,no,4
SO-2024-00048,INV-000048,2024-03-06,2024-03-10,South,United States,Texas,Dallas,Online,Government,BrightPath Foods,Jordan Reed,Orbit Camera,Electronics,Security,24,220.32,0.00,5287.68,5287.68,92.77,3216.76,2070.92,39.17,Wire Transfer,Low,Delivered,no,4
SO-2024-00049,INV-000049,2024-03-20,2024-03-26,South,United States,Texas,Dallas,Distributor,SMB,PrimeAxis Stores,Priya Nair,Nimbus Tablet,Electronics,Mobile Devices,11,656.99,0.03,7226.89,7010.08,46.49,4749.19,2260.90,32.25,Credit Card,High,Processing,no,4
SO-2024-00050,INV-000050,2024-02-19,2024-02-22,East,United States,Virginia,Richmond,Inside Sales,Consumer,PrimeAxis Homes,Sana Khan,Terra Blender,Home Appliances,Kitchen,25,123.53,0.08,3088.25,2841.19,60.13,1982.64,858.55,30.22,PayPal,High,Processing,no,3
SO-2024-00051,INV-000051,2024-03-05,2024-03-09,West,United States,California,San Francisco,Retail,Consumer,Lighthouse Retail,Jordan Reed,Summit Desk,Furniture,Office,3,441.89,0.05,1325.67,1259.39,70.53,1006.30,253.08,20.10,PayPal,Low,Delivered,no,5
SO-2024-00052,INV-000052,2024-03-01,2024-03-05,North,United States,New York,New York,Marketplace,Government,BluePeak Technologies,Daniel Brooks,Vertex Monitor,Electronics,Displays,22,429.10,0.00,9440.20,9440.20,50.97,5639.14,3801.06,40.26,PayPal,Low,Processing,no,5
SO-2024-00053,INV-000053,2024-04-02,2024-04-08,South,United States,Florida,Miami,Inside Sales,Enterprise,Lighthouse Stores,Anika Shah,Nimbus Tablet,Electronics,Mobile Devices,11,739.43,0.10,8133.73,7320.36,19.50,4997.09,2323.27,31.74,Invoice,Low,Delivered,no,4
SO-2024-00054,INV-000054,2024-03-21,2024-03-23,East,United States,Pennsylvania,Philadelphia,Distributor,SMB,Elevate Supply,Marcus Lee,Terra Blender,Home Appliances,Kitchen,9,131.34,0.08,1182.06,1087.50,68.59,722.34,365.16,33.58,PayPal,High,Processing,no,4
SO-2024-00055,INV-000055,2024-03-24,2024-03-27,North,United States,New York,New York,Inside Sales,SMB,BrightPath Homes,Sana Khan,Harbor Chair,Furniture,Office,23,244.29,0.00,5618.67,5618.67,48.66,3227.32,2391.35,42.56,PayPal,Low,Processing,no,3
SO-2024-00056,INV-000056,2024-04-01,2024-04-04,East,United States,Pennsylvania,Philadelphia,Inside Sales,SMB,Elevate Homes,Daniel Brooks,Apex Drill,Industrial,Tools,24,314.77,0.12,7554.48,6647.94,66.63,5071.04,1576.91,23.72,Wire Transfer,Medium,Delivered,no,5
SO-2024-00057,INV-000057,2024-04-06,2024-04-07,South,United States,Texas,Dallas,Inside Sales,Government,BluePeak Partners,Priya Nair,Harbor Chair,Furniture,Office,22,250.48,0.03,5510.56,5345.24,77.45,3004.17,2341.08,43.80,Wire Transfer,Medium,Delivered,no,5
SO-2024-00058,INV-000058,2024-03-08,2024-03-11,East,United States,Virginia,Richmond,Retail,Government,BluePeak Stores,Daniel Brooks,Terra Blender,Home Appliances,Kitchen,28,145.19,0.12,4065.32,3577.48,36.50,2242.04,1335.45,37.33,Credit Card,Critical,Processing,no,3
SO-2024-00059,INV-000059,2024-03-28,2024-03-31,North,United States,Massachusetts,Boston,Online,Consumer,SilverOak Homes,Marcus Lee,Harbor Chair,Furniture,Office,23,256.86,0.03,5907.78,5730.55,60.52,3420.80,2309.74,40.31,Credit Card,Critical,Delivered,no,5
SO-2024-00060,INV-000060,2024-03-07,2024-03-09,West,United States,California,San Francisco,Inside Sales,Government,Cobalt Homes,Priya Nair,Harbor Chair,Furniture,Office,3,269.12,0.03,807.36,783.14,94.66,497.87,285.27,36.43,PayPal,Low,Delivered,no,4
SO-2024-00061,INV-000061,2024-03-18,2024-03-19,West,United States,California,San Francisco,Online,Government,PrimeAxis Technologies,Elena Cruz,Crest Air Purifier,Home Appliances,Air Quality,24,272.40,0.05,6537.60,6210.72,48.91,4010.15,2200.57,35.43,Wire Transfer,Low,Delivered,no,4
SO-2024-00062,INV-000062,2024-04-12,2024-04-18,South,United States,Florida,Miami,Retail,SMB,BluePeak Foods,Marcus Lee,Nimbus Tablet,Electronics,Mobile Devices,21,734.98,0.00,15434.58,15434.58,77.30,8802.29,6632.29,42.97,Invoice,Medium,Delivered,no,5
SO-2024-00063,INV-000063,2024-03-12,2024-03-14,East,United States,Virginia,Richmond,Inside Sales,Enterprise,SilverOak Services,Priya Nair,Aurora Laptop,Electronics,Computers,19,1180.52,0.00,22429.88,22429.88,21.12,17002.14,5427.74,24.20,Invoice,Low,Delivered,no,3
SO-2024-00064,INV-000064,2024-03-08,2024-03-12,North,United States,Massachusetts,Boston,Distributor,Enterprise,PrimeAxis Partners,Anika Shah,Apex Drill,Industrial,Tools,16,356.07,0.08,5697.12,5241.35,61.27,3469.12,1772.23,33.81,PayPal,Critical,Delivered,no,4
SO-2024-00065,INV-000065,2024-04-19,2024-04-23,West,United States,Washington,Seattle,Marketplace,Consumer,Cobalt Services,Noah Bennett,Nimbus Tablet,Electronics,Mobile Devices,4,722.86,0.03,2891.44,2804.70,62.49,1688.53,1116.17,39.80,ACH,Critical,Delivered,no,3
SO-2024-00066,INV-000066,2024-04-02,2024-04-06,South,United States,Florida,Miami,Inside Sales,SMB,Summit Partners,Noah Bennett,Nimbus Tablet,Electronics,Mobile Devices,9,640.95,0.12,5768.55,5076.32,49.64,3867.13,1209.19,23.82,Credit Card,Low,Processing,no,3
SO-2024-00067,INV-000067,2024-03-13,2024-03-19,West,United States,California,San Francisco,Inside Sales,Government,BluePeak Industries,Anika Shah,Nimbus Tablet,Electronics,Mobile Devices,25,634.00,0.00,15850.00,15850.00,58.18,10877.13,4972.87,31.37,Invoice,High,Delivered,no,4
SO-2024-00068,INV-000068,2024-03-17,2024-03-23,South,United States,Florida,Miami,Distributor,Enterprise,Elevate Supply,Elena Cruz,Nimbus Tablet,Electronics,Mobile Devices,17,608.96,0.00,10352.32,10352.32,41.06,7372.07,2980.25,28.79,Credit Card,Medium,Delivered,no,4
SO-2024-00069,INV-000069,2024-03-31,2024-04-01,East,United States,Pennsylvania,Philadelphia,Retail,Government,BluePeak Foods,Sana Khan,Harbor Chair,Furniture,Office,7,264.37,0.08,1850.59,1702.54,66.56,1001.99,700.56,41.15,PayPal,High,Delivered,no,3
SO-2024-00070,INV-000070,2024-03-30,2024-04-04,East,United States,Virginia,Richmond,Distributor,Government,BluePeak Partners,Noah Bennett,Terra Blender,Home Appliances,Kitchen,21,116.37,0.00,2443.77,2443.77,24.91,1657.44,786.33,32.18,ACH,Critical,Returned,yes,3
SO-2024-00071,INV-000071,2024-04-12,2024-04-13,South,United States,Florida,Miami,Distributor,Enterprise,Northwind Supply,Anika Shah,Harbor Chair,Furniture,Office,13,237.03,0.03,3081.39,2988.95,68.29,1918.22,1070.73,35.82,Wire Transfer,High,Delivered,no,3
SO-2024-00072,INV-000072,2024-03-30,2024-04-02,East,United States,Virginia,Richmond,Inside Sales,Enterprise,PrimeAxis Foods,Sana Khan,Pulse Headphones,Electronics,Accessories,5,166.70,0.10,833.50,750.15,47.74,545.25,204.90,27.32,Credit Card,Critical,Delivered,no,3
SO-2024-00073,INV-000073,2024-04-02,2024-04-07,North,United States,Massachusetts,Boston,Distributor,Consumer,Greenline Services,Jordan Reed,Vertex Monitor,Electronics,Displays,15,390.02,0.10,5850.30,5265.27,65.13,3586.52,1678.75,31.88,PayPal,Low,Delivered,no,3
SO-2024-00074,INV-000074,2024-04-16,2024-04-17,West,United States,California,San Francisco,Retail,Consumer,PrimeAxis Foods,Daniel Brooks,Apex Drill,Industrial,Tools,14,363.98,0.10,5095.72,4586.15,40.18,2980.09,1606.06,35.02,Wire Transfer,Medium,Delivered,no,3
SO-2024-00075,INV-000075,2024-03-27,2024-03-29,East,United States,Virginia,Richmond,Marketplace,Government,Lighthouse Services,Daniel Brooks,Pulse Headphones,Electronics,Accessories,21,173.83,0.12,3650.43,3212.38,66.41,2168.26,1044.11,32.50,Invoice,Medium,Processing,no,4
SO-2024-00076,INV-000076,2024-04-13,2024-04-19,West,United States,Washington,Seattle,Inside Sales,Consumer,Northwind Retail,Jordan Reed,Nimbus Tablet,Electronics,Mobile Devices,11,705.49,0.08,7760.39,7139.56,16.66,4733.13,2406.43,33.71,Credit Card,Critical,Processing,no,4
SO-2024-00077,INV-000077,2024-04-14,2024-04-19,North,United States,New York,New York,Marketplace,SMB,Summit Logistics,Anika Shah,Crest Air Purifier,Home Appliances,Air Quality,22,259.17,0.08,5701.74,5245.60,51.48,3645.03,1600.57,30.51,Wire Transfer,Critical,Delivered,no,4
SO-2024-00078,INV-000078,2024-04-10,2024-04-13,South,United States,Texas,Dallas,Online,Government,BluePeak Technologies,Elena Cruz,Orbit Camera,Electronics,Security,11,214.78,0.12,2362.58,2079.07,40.08,1470.08,608.99,29.29,Invoice,Medium,Delivered,no,4
SO-2024-00079,INV-000079,2024-04-10,2024-04-13,South,United States,Texas,Dallas,Marketplace,Enterprise,Summit Stores,Sana Khan,Nimbus Tablet,Electronics,Mobile Devices,22,688.98,0.05,15157.56,14399.68,22.70,9679.06,4720.63,32.78,ACH,High,Processing,no,3
SO-2024-00080,INV-000080,2024-03-31,2024-04-02,East,United States,Virginia,Richmond,Marketplace,Enterprise,BluePeak Foods,Daniel Brooks,Terra Blender,Home Appliances,Kitchen,12,145.30,0.05,1743.60,1656.42,27.94,986.98,669.44,40.42,ACH,Medium,Delivered,no,5
SO-2024-00081,INV-000081,2024-03-31,2024-04-02,South,United States,Texas,Dallas,Distributor,Consumer,Summit Supply,Noah Bennett,Apex Drill,Industrial,Tools,28,348.79,0.08,9766.12,8984.83,79.15,5840.75,3144.08,34.99,Wire Transfer,Medium,Processing,no,4
SO-2024-00082,INV-000082,2024-04-14,2024-04-20,South,United States,Florida,Miami,Marketplace,SMB,Greenline Supply,Elena Cruz,Vertex Monitor,Electronics,Displays,20,430.53,0.05,8610.60,8180.07,75.86,5047.79,3132.28,38.29,Credit Card,Critical,Processing,no,4
SO-2024-00083,INV-000083,2024-05-07,2024-05-12,North,United States,Massachusetts,Boston,Distributor,Consumer,BluePeak Supply,Anika Shah,Orbit Camera,Electronics,Security,5,208.95,0.12,1044.75,919.38,25.31,664.08,255.30,27.77,PayPal,Low,Processing,no,4
SO-2024-00084,INV-000084,2024-04-08,2024-04-12,East,United States,Pennsylvania,Philadelphia,Online,Consumer,Greenline Stores,Noah Bennett,Orbit Camera,Electronics,Security,4,214.07,0.00,856.28,856.28,38.45,528.28,328.00,38.30,Wire Transfer,Critical,Delivered,no,4
SO-2024-00085,INV-000085,2024-03-30,2024-03-31,North,United States,New York,New York,Inside Sales,Enterprise,BrightPath Supply,Anika Shah,Crest Air Purifier,Home Appliances,Air Quality,10,261.16,0.00,2611.60,2611.60,57.55,1806.49,805.11,30.83,Wire Transfer,Critical,Delivered,no,5
SO-2024-00086,INV-000086,2024-03-30,2024-03-31,West,United States,Washington,Seattle,Online,Consumer,BrightPath Industries,Marcus Lee,Crest Air Purifier,Home Appliances,Air Quality,28,311.18,0.08,8713.04,8016.00,56.49,4900.05,3115.94,38.87,ACH,Critical,Delivered,no,3
SO-2024-00087,INV-000087,2024-03-31,2024-04-05,East,United States,Pennsylvania,Philadelphia,Online,Consumer,Summit Partners,Jordan Reed,Nimbus Tablet,Electronics,Mobile Devices,19,656.73,0.08,12477.87,11479.64,57.99,8092.69,3386.95,29.50,Invoice,Medium,Processing,no,5
SO-2024-00088,INV-000088,2024-04-05,2024-04-06,East,United States,Pennsylvania,Philadelphia,Online,Government,Greenline Stores,Anika Shah,Nimbus Tablet,Electronics,Mobile Devices,13,663.25,0.12,8622.25,7587.58,65.35,5851.02,1736.56,22.89,Invoice,Medium,Processing,no,3
SO-2024-00089,INV-000089,2024-04-18,2024-04-21,North,United States,New York,New York,Online,Consumer,BrightPath Technologies,Elena Cruz,Summit Desk,Furniture,Office,18,451.44,0.12,8125.92,7150.81,57.07,5316.08,1834.73,25.66,Credit Card,High,Delivered,no,4
SO-2024-00090,INV-000090,2024-04-23,2024-04-26,West,United States,Washington,Seattle,Distributor,SMB,Cobalt Logistics,Elena Cruz,Apex Drill,Industrial,Tools,7,331.97,0.05,2323.79,2207.60,42.49,1594.33,613.27,27.78,Invoice,Low,Delivered,no,3
SO-2024-00091,INV-000091,2024-04-19,2024-04-23,East,United States,Virginia,Richmond,Distributor,Consumer,Summit Services,Anika Shah,Terra Blender,Home Appliances,Kitchen,21,137.59,0.00,2889.39,2889.39,69.25,1626.65,1262.74,43.70,Credit Card,Critical,Returned,yes,3
SO-2024-00092,INV-000092,2024-04-02,2024-04-04,South,United States,Texas,Dallas,Marketplace,Enterprise,Summit Industries,Priya Nair,Orbit Camera,Electronics,Security,21,231.33,0.05,4857.93,4615.03,14.89,2576.40,2038.64,44.17,PayPal,High,Delivered,no,4
SO-2024-00093,INV-000093,2024-05-08,2024-05-10,North,United States,Massachusetts,Boston,Distributor,Enterprise,Lighthouse Foods,Elena Cruz,Vertex Monitor,Electronics,Displays,18,369.68,0.03,6654.24,6454.61,65.91,4271.23,2183.38,33.83,Invoice,Critical,Delivered,no,3
SO-2024-00094,INV-000094,2024-05-17,2024-05-21,East,United States,Virginia,Richmond,Online,Consumer,Summit Technologies,Elena Cruz,Crest Air Purifier,Home Appliances,Air Quality,8,254.42,0.12,2035.36,1791.12,18.15,1328.39,462.73,25.83,Wire Transfer,Medium,Delivered,no,4
SO-2024-00095,INV-000095,2024-04-11,2024-04-13,South,United States,Florida,Miami,Marketplace,Enterprise,PrimeAxis Stores,Jordan Reed,Orbit Camera,Electronics,Security,27,200.63,0.12,5417.01,4766.97,53.00,3466.25,1300.72,27.29,Invoice,Critical,Processing,no,5
